Localpath,Filename,Name,CatRA,CatDEC,DateOBS,Telescope,Instrument,Reference,Reference_Format,Formatted
/Users/student/Desktop/Brown Dwarfs/DATA/mnires_J1334-2730_20220119.fits,mnires_J1334-2730_20220119.fits,J133427.70-273053.1,203.6154266,-27.5147656,20220119,Gemini North,GNIRS,Burgasser group?,BYW_Inprep,
/Users/student/Desktop/Brown Dwarfs/DATA/mnires_J1416+2322_20200720.fits,mnires_J1416+2322_20200720.fits,J141608.89+232241.7,214.0370493,23.3782509,20200720,Gemini North,GNIRS,Fede,BYW_Inprep,
/Users/student/Desktop/Brown Dwarfs/DATA/mnires_J1524-2620_20220611.fits,mnires_J1524-2620_20220611.fits,J152443.14-262001.8,231.1797728,-26.3338530,20220611,Gemini North,GNIRS,Adam B.,BYW_Inprep,
/Users/student/Desktop/Brown Dwarfs/DATA/mnires_J1556+7343_20210721.fits,mnires_J1556+7343_20210721.fits,J155606.12+734337.0,239.0255032,73.7269483,20210721,Gemini North,GNIRS,BYW_inprep,BYW_Inprep,
/Users/student/Desktop/Brown Dwarfs/DATA/mnires_J1625+7749_20210721.fits,mnires_J1625+7749_20210721.fits,J162511.27+774946.8,246.2969812,77.8296817,20210721,Gemini North,GNIRS,Austin,BYW_Inprep,
/Users/student/Desktop/Brown Dwarfs/DATA/mnires_J1639-3401_20200720.fits,mnires_J1639-3401_20200720.fits,J163943.41-340136.0,249.9308931,-34.0266754,20200720,Gemini North,GNIRS,BYW_inprep,BYW_Inprep,
/Users/student/Desktop/Brown Dwarfs/DATA/mnires_J1701-3630_20220611.fits,mnires_J1701-3630_20220611.fits,J170103.70-363030.8,255.2654482,-36.5085638,20220611,Gemini North,GNIRS,BYW_inprep,BYW_Inprep,
/Users/student/Desktop/Brown Dwarfs/DATA/mnires_J1710+4537_20220611.fits,mnires_J1710+4537_20220611.fits,J171003.00+453756.4,257.5125051,45.632347,20220611,Gemini North,GNIRS,BYW_inprep,BYW_Inprep,
/Users/student/Desktop/Brown Dwarfs/DATA/mnires_J1717+7244A_20220611.fits,mnires_J1717+7244A_20220611.fits,J171701.04+724449.0A,259.253846,72.746865,20220611,Gemini North,GNIRS,BYW_inprep,BYW_Inprep,
/Users/student/Desktop/Brown Dwarfs/DATA/mnires_J1717+7244B_20220611.fits,mnires_J1717+7244B_20220611.fits,J171701.04+724449.0B,259.253846,72.746865,20220611,Gemini North,GNIRS,BYW_Inprep,BYW_Inprep,
/Users/student/Desktop/Brown Dwarfs/DATA/mnires_J1744+2303_20210721.fits,mnires_J1744+2303_20210721.fits,J174426.85+230355.1,266.1118811,23.0653259,20210721,Gemini North,GNIRS,Austin,BYW_Inprep,
/Users/student/Desktop/Brown Dwarfs/DATA/mnires_J1757+1142_20210721.fits,mnires_J1757+1142_20210721.fits,J175742.03+114249.3,269.425156,11.7137122,20210721,Gemini North,GNIRS,BYW_Inprep,BYW_Inprep,
/Users/student/Desktop/Brown Dwarfs/DATA/mnires_J1801+4717_20210823.fits,mnires_J1801+4717_20210823.fits,J180122.59+471741.4,270.3441436,47.2948564,20210823,Gemini North,GNIRS,BYW_Inprep,BYW_Inprep,
/Users/student/Desktop/Brown Dwarfs/DATA/mnires_J1846+8530_20210823.fits,mnires_J1846+8530_20210823.fits,J184640.11+853028.9,281.6671589,85.5080288,20210823,Gemini North,GNIRS,BYW_Inprep,BYW_Inprep,
/Users/student/Desktop/Brown Dwarfs/DATA/mnires_J1956+5922_20190913.fits,mnires_J1956+5922_20190913.fits,J195604.40+592226.3,299.0183327,59.3739857,20190913,Gemini North,GNIRS,BYW_Inprep,BYW_Inprep,
/Users/student/Desktop/Brown Dwarfs/DATA/mnires_J2002-2039_20201022.fits,mnires_J2002-2039_20201022.fits,J200223.61-203955.7,300.5983908,-20.665484,20201022,Gemini North,GNIRS,BYW_Inprep,BYW_Inprep,
/Users/student/Desktop/Brown Dwarfs/DATA/mnires_J2034+4708_20220711.fits,mnires_J2034+4708_20220711.fits,J203437.74+470824.2,308.6572861,47.1400641,20220711,Gemini North,GNIRS,BYW_Inprep,BYW_Inprep,
/Users/student/Desktop/Brown Dwarfs/DATA/mnires_J2046-2238_20220711.fits,mnires_J2046-2238_20220711.fits,J204626.36-223819.5,311.6098322,-22.6387704,20220711,Gemini North,GNIRS,Adam B,BYW_Inprep,
/Users/student/Desktop/Brown Dwarfs/DATA/mnires_J2112+0529_20220611.fits,mnires_J2112+0529_20220611.fits,J211250.11-052925.2,318.2088073,-5.4903597,20220611,Gemini North,GNIRS,Adam B.,BYW_Inprep,
/Users/student/Desktop/Brown Dwarfs/DATA/mnires_J2145+2352_20220711.fits,mnires_J2145+2352_20220711.fits,J214516.34+235253.0,326.3181181,23.8814065,20220711,Gemini North,GNIRS,Adam B,BYW_Inprep,
/Users/student/Desktop/Brown Dwarfs/DATA/mnires_J2243-1606_20201022.fits,mnires_J2243-1606_20201022.fits,J224349.27-160624.0,340.9552973,-16.1066718,20201022,Gemini North,GNIRS,BYW_Inprep,BYW_Inprep,
